path	methods	auth_wrappers	perm_or_role_args	tenant_scoping	service_role_direct	tables_touched
app/api/admin/analytics/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/audit-logs/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/auth/my-organizations/route.ts	GET:13	14:withBackofficeAuth;16:withAdminDb	;	withAdminDb;	0	organization_members,organizations
app/api/admin/auth/switch-org/route.ts	POST:35	36:withBackofficeAuth;43:withAdminDb;68:withAdminDb	;	withAdminDb;	0	members,organization_members,organizations,refresh_tokens
app/api/admin/billing/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/dashboard/route.ts	GET:13	14:withPlatformRole	;super_admin		0	
app/api/admin/feature-flags/route.ts	GET:9;PATCH:21	10:withPlatformRole;22:withPlatformRole	;super_admin		0	
app/api/admin/geography/counties/[id]/wards/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/geography/counties/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/governance/alerts/[id]/route.ts	PATCH:11	12:withPlatformRole	;super_admin		0	
app/api/admin/governance/alerts/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/governance/compute/route.ts	POST:17	18:withPlatformRole	;super_admin		0	
app/api/admin/governance/snapshots/route.ts	GET:9	10:withPlatformRole	;super_admin		0	
app/api/admin/groups/[id]/members/[memberId]/route.ts	GET:9	10:withPlatformRole	;super_admin		0	
app/api/admin/groups/[id]/members/route.ts	GET:15	16:withPlatformRole	;super_admin		0	
app/api/admin/groups/[id]/route.ts	GET:9;PATCH:23	10:withPlatformRole;24:withPlatformRole	;super_admin		0	
app/api/admin/groups/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/members/[id]/role/route.ts	POST:23	24:withPlatformRole	;super_admin		0	
app/api/admin/organizations/[id]/groups/route.ts	POST:17;DELETE:32	18:withPlatformRole;33:withPlatformRole	;super_admin		0	this
app/api/admin/organizations/[id]/route.ts	GET:11;PATCH:24	12:withPlatformRole;25:withPlatformRole	;super_admin		0	
app/api/admin/organizations/[id]/staff/[memberId]/route.ts	PATCH:14;DELETE:29	17:withPlatformRole;32:withPlatformRole	;super_admin		0	this
app/api/admin/organizations/[id]/staff/invitations/[invitationId]/resend/route.ts	POST:9	10:withPlatformRole	;super_admin		0	
app/api/admin/organizations/[id]/staff/invitations/[invitationId]/route.ts	DELETE:9	10:withPlatformRole	;super_admin		0	
app/api/admin/organizations/[id]/staff/invitations/route.ts	GET:9	10:withPlatformRole	;super_admin		0	
app/api/admin/organizations/[id]/staff/invite/route.ts	POST:18	19:withPlatformRole	;super_admin		0	
app/api/admin/organizations/[id]/staff/route.ts	GET:17;POST:26	18:withPlatformRole;27:withPlatformRole	;super_admin		0	
app/api/admin/organizations/compare/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/organizations/route.ts	GET:11;POST:35	12:withPlatformRole;36:withPlatformRole	;super_admin		0	
app/api/admin/policies/loan-terms/route.ts	GET:14;PUT:20	15:withPlatformRole;16:withAdminDb;21:withPlatformRole;23:withAdminDb;24:withAdminDb	;super_admin	withAdminDb;	0	
app/api/admin/policies/loan/route.ts	GET:14;PUT:20	15:withPlatformRole;16:withAdminDb;21:withPlatformRole;23:withAdminDb;24:withAdminDb	;super_admin	withAdminDb;	0	
app/api/admin/policies/posting-templates/route.ts	GET:15;PUT:21	16:withPlatformRole;17:withAdminDb;22:withPlatformRole;24:withAdminDb;25:withAdminDb	;super_admin	withAdminDb;	0	
app/api/admin/policies/route.ts	GET:18;PUT:24	19:withPlatformRole;20:withAdminDb;25:withPlatformRole;27:withAdminDb;28:withAdminDb	;super_admin	withAdminDb;	0	unless
app/api/admin/roles/route.ts	GET:13	14:withPlatformRole	;super_admin		0	
app/api/admin/search/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/admin/support/[id]/route.ts	PATCH:14	15:withPlatformRole	;super_admin		0	
app/api/admin/support/route.ts	GET:9;POST:32	10:withPlatformRole;33:withPlatformRole	;super_admin		0	
app/api/admin/users/[id]/route.ts	PATCH:13	14:withPlatformRole	;super_admin		0	
app/api/admin/users/route.ts	GET:8	9:withPlatformRole	;super_admin		0	
app/api/cron/route.ts	POST:49		;		0	
app/api/health/deep/route.ts	GET:51		;		0	access
app/api/health/route.ts	GET:17		;		0	
